boundary,locagrid
feature,"LOCA Grid Cell 34.40625, -119.84375"
feature id,47000
center,"-119.8438, 34.4063"
scenario,High (RCP 8.5)
climate indicator,Maximum Temperature
units,Â°F

year,Modeled RCP 8.5 Range Min,Modeled RCP 8.5 Range Max,Observed,CanESM2 (Average),CNRM-CM5 (Cool/Wet),HadGEM2-ES (Warm/Dry),MIROC5 (Complement)
1950,68.8376464844,73.504699707,71.6771240234,71.4154815674,70.5403137207,70.5627288818,69.5987243652
1951,68.2969055176,72.1884307861,71.4004669189,70.2448348999,70.0476303101,71.6006011963,70.6724777222
1952,68.5175628662,72.6280975342,69.4238204956,69.462387085,72.2078704834,72.6280975342,70.3052062988
1953,69.2069549561,73.7574386597,70.1883087158,70.4757080078,70.1106414795,71.9596862793,71.9647979736
1954,68.8522033691,72.0923461914,69.0217056274,69.9804992676,70.2185211182,70.3983688354,70.7132873535
1955,68.126449585,73.8532943726,67.2865600586,69.3404998779,70.1612854004,69.8308105469,70.8117828369
1956,68.3991317749,72.3292694092,68.7303237915,69.9144210815,70.787612915,71.0359039307,69.9309005737
1957,68.484161377,72.5784454346,69.6830215454,69.6705780029,70.620513916,70.297958374,72.0838317871
1958,67.5218200684,73.1000671387,71.6991729736,69.8337249756,70.4932403564,70.1099243164,70.4093551636
1959,68.0521850586,73.0751876831,75.9882965088,71.0259628296,70.2447814941,69.1906967163,70.921043396
1960,68.540802002,72.5287322998,74.1204910278,70.3130645752,71.2147064209,71.4117431641,70.2559814453
1961,68.3390350342,72.2736206055,74.7588806152,69.5411605835,70.2530212402,70.4876327515,70.6585235596
1962,68.1082687378,72.7280731201,72.4186248779,70.2679595947,70.8634185791,70.3685913086,72.7280731201
1963,69.0714950562,73.1031494141,73.8526611328,73.0347595215,69.4315185547,70.0676803589,72.3386077881
1964,68.3189849854,72.1281661987,69.5696411133,69.0244140625,68.7883224487,69.2442016602,71.7695770264
1965,67.6083374023,72.4816513062,68.4247512817,67.6083374023,69.3917999268,71.3953781128,69.437286377
1966,68.0478439331,72.8758392334,68.8286895752,68.7680511475,68.9959640503,72.2702178955,68.0478439331
1967,67.9892883301,71.4336090088,68.1698455811,70.8523254395,68.9360351562,69.5729064941,70.3501434326
1968,68.433303833,73.446472168,68.78540802,69.529296875,69.6876068115,70.2981719971,70.3014144897
1969,68.0676193237,72.1628875732,68.9130172729,69.8199386597,71.1689453125,70.5504150391,69.9416122437
1970,67.9640197754,72.2253952026,68.4182891846,68.7565765381,71.1533508301,70.3117370605,69.7238616943
1971,67.8749237061,71.7243041992,68.5746612549,70.2109375,70.0790557861,69.4886474609,67.8749237061
1972,68.583152771,72.2659301758,69.6810302734,69.9172821045,69.4992980957,72.2659301758,69.784286499
1973,68.4690093994,72.4599533081,67.1314620972,71.1310424805,69.8988800049,71.5239181519,70.1502990723
1974,68.8141403198,72.3583831787,68.5018768311,71.0344238281,68.8141403198,71.606590271,69.6901855469
1975,68.4379730225,71.756439209,66.9500274658,71.756439209,69.4963912964,71.2783737183,69.0605621338
1976,68.0819015503,71.4720077515,70.9071960449,69.3282470703,70.1188812256,70.1834716797,69.0009078979
1977,68.3168487549,72.3751983643,71.1760406494,69.9674301147,69.3174285889,71.3100738525,71.1480255127
1978,68.4324798584,72.1578826904,68.809211731,71.5476989746,70.7927246094,69.9142608643,71.2585983276
1979,67.9459457397,72.3717346191,69.0946960449,71.4911193848,70.2526855469,69.4304733276,70.38331604
1980,67.4273910522,73.0724945068,69.1263275146,73.0724945068,71.1707077026,68.6691741943,69.1092376709
1981,67.7469329834,72.7525787354,69.2766189575,72.4245223999,70.0072555542,67.7469329834,68.5176696777
1982,67.707321167,71.6072540283,68.143951416,69.9356842041,70.5614013672,69.3415985107,69.8712997437
1983,67.4699630737,72.0294494629,70.4781799316,69.8626251221,69.8726730347,69.5046310425,69.6952438354
1984,66.9986495972,72.5856323242,70.9336090088,69.2126159668,69.8207092285,70.8256225586,70.3776092529
1985,68.6373748779,72.885345459,68.57081604,68.7625045776,68.6373748779,69.8929443359,69.0365600586
1986,69.2054748535,72.2223739624,70.0807037354,69.6051559448,70.6553955078,71.4574508667,69.2054748535
1987,69.2530441284,73.5497436523,69.7998046875,69.3524169922,71.0474395752,69.719909668,69.2799606323
1988,68.6272125244,72.7142868042,70.2153320312,69.1755905151,69.7245788574,68.7188339233,72.7142868042
1989,68.8928070068,72.4367675781,70.8249664307,69.7382049561,69.6976623535,68.9309234619,70.9370269775
1990,68.6587371826,72.6584777832,71.9495925903,69.7471008301,71.2699737549,69.2754058838,70.9981079102
1991,69.1564788818,72.3163604736,69.5351257324,71.2366256714,70.4468688965,69.8323516846,70.6919784546
1992,68.4865875244,73.6839904785,72.9281616211,69.5869750977,71.2509078979,70.5496520996,70.3081665039
1993,68.3463439941,72.1746368408,72.5434951782,71.4870605469,69.0632019043,70.1292037964,68.5229492188
1994,68.8758850098,71.8213195801,70.847946167,68.8758850098,70.4039154053,69.8861846924,71.1242370605
1995,67.799987793,73.4899215698,71.7458190918,70.573928833,71.210144043,71.7463912964,71.7057952881
1996,68.5797424316,72.1905136108,75.4381790161,71.0387573242,71.9306869507,69.4399719238,69.8386154175
1997,69.0657272339,73.8097381592,76.7004089355,70.5407562256,71.0427703857,71.0354156494,71.4084472656
1998,68.9767379761,73.3093109131,73.1426696777,71.404006958,71.5408935547,71.3907089233,70.8907775879
1999,68.5744781494,73.3436889648,73.4796905518,72.5984344482,70.7601470947,70.9691619873,71.2180633545
2000,68.2524642944,72.6491394043,72.5630950928,72.0797119141,71.4505310059,68.2524642944,71.7438049316
2001,69.6297149658,72.4206237793,66.8789672852,71.8332366943,70.9249420166,70.3304748535,72.107131958
2002,68.8717651367,72.9426422119,67.3866653442,71.7695159912,70.571182251,72.9426422119,70.6817016602
2003,69.32006073,73.2470703125,69.1161499023,70.7837142944,69.32006073,70.6994476318,70.4253387451
2004,69.2706756592,73.0983734131,69.7500305176,71.1690063477,72.9454956055,70.493347168,70.3576049805
2005,69.2788619995,73.7182159424,68.9292907715,71.4650878906,73.7182159424,70.2178649902,70.4951019287
2006,69.4759063721,73.6715240479,69.5440979004,71.9931945801,71.540397644,70.0923461914,71.6145553589
2007,69.4325561523,73.3466033936,,71.7807235718,72.930557251,71.8141784668,72.3950195312
2008,68.6520385742,72.9739532471,,70.7439422607,72.0716400146,71.0301971436,70.6395187378
2009,69.5849456787,73.1590118408,,72.9779052734,72.7052230835,70.6428146362,70.1839752197
2010,69.0487518311,73.4622344971,,71.6298217773,71.9126739502,70.3922119141,71.7304611206
2011,70.1519470215,73.4624557495,,72.4920883179,70.9743804932,71.7150802612,70.8156280518
2012,68.8175506592,74.9629135132,,72.9274215698,72.2133636475,73.3561630249,71.9100341797
2013,69.4506378174,73.3590240479,,70.6423187256,71.5540771484,70.9697113037,69.8997039795
2014,68.7947998047,74.501159668,,70.1184921265,72.3058700562,72.6226654053,71.0773773193
2015,69.4853515625,73.9391479492,,72.5609130859,70.0318145752,70.4252319336,72.2590179443
2016,70.3516235352,73.7378234863,,70.6417694092,70.5797576904,70.9185714722,72.4396286011
2017,69.5715332031,74.0965270996,,71.0863342285,72.0536193848,71.8048934937,72.0955352783
2018,69.6394348145,74.5204925537,,72.0603256226,71.6193847656,71.7762756348,72.8836364746
2019,69.7956542969,73.8410949707,,73.8410949707,70.2102279663,70.595413208,71.5200195312
2020,69.7435302734,74.1119689941,,72.04637146,70.5914535522,74.0802764893,72.7123641968
2021,69.7374267578,75.4105529785,,72.6335372925,70.5994186401,71.4691009521,71.3904876709
2022,69.5150680542,74.3771820068,,72.5366973877,72.2725830078,72.9604949951,71.2645263672
2023,69.8313598633,74.4961547852,,72.761138916,72.5433349609,73.0567855835,70.4383544922
2024,70.4877471924,74.7089691162,,73.8027038574,71.9463424683,73.0813446045,71.0050354004
2025,70.8500213623,75.1135864258,,72.0082550049,71.9000854492,73.3299102783,72.4741821289
2026,69.884262085,74.3697052002,,73.4208679199,71.5067749023,72.0790023804,73.5751800537
2027,69.4226226807,74.0078735352,,70.6450653076,70.6923065186,72.6109619141,71.8426361084
2028,70.6513824463,75.5631561279,,71.5369873047,72.8918304443,73.0815582275,72.8651275635
2029,69.7471542358,74.8187713623,,73.1961975098,71.9990768433,72.3102111816,71.4120788574
2030,70.011428833,75.3249664307,,74.8949584961,71.080619812,71.5386962891,73.2080078125
2031,69.5942840576,74.1169662476,,72.9988861084,71.7687530518,71.5487518311,73.4560241699
2032,68.8049163818,74.5537261963,,72.6631469727,71.2516174316,73.5421066284,72.0331878662
2033,69.5146331787,74.7651062012,,72.4028244019,73.6412582397,72.2916412354,70.7820129395
2034,69.7150192261,74.9331970215,,73.9974899292,72.0182495117,73.3430328369,70.7711334229
2035,70.3455200195,74.6865539551,,71.6101074219,73.3824157715,73.8626327515,73.8816986084
2036,70.5442657471,74.7685089111,,74.5956954956,72.516418457,72.4414367676,73.2567901611
2037,70.6023864746,74.3858566284,,73.4682235718,71.8140106201,73.1680221558,73.0028381348
2038,70.478729248,74.8727722168,,72.9413757324,72.1651306152,73.4378509521,73.3770370483
2039,70.1920471191,74.620803833,,73.3245239258,74.0860900879,74.2100219727,72.8156356812
2040,70.5156478882,75.2822875977,,73.3702850342,72.4987335205,71.5854415894,73.5838012695
2041,71.1111068726,75.2482833862,,75.2482833862,72.3285522461,72.1421203613,73.3622589111
2042,71.8074798584,75.6263275146,,73.6543273926,72.4162826538,72.4036483765,72.9118804932
2043,70.6651153564,74.9403381348,,72.9348907471,72.0720825195,72.7436218262,73.4530639648
2044,70.0242843628,75.5028381348,,73.1141357422,71.4033966064,71.5501251221,75.5028381348
2045,71.240196228,75.89427948,,72.2058944702,73.5736923218,72.8040466309,73.8033599854
2046,71.1682891846,76.7112731934,,74.6335983276,72.3105926514,72.5114746094,73.8870773315
2047,71.6106567383,75.1039733887,,74.9173202515,73.2856292725,74.6632614136,72.7724609375
2048,71.4992523193,74.9130859375,,74.8633728027,71.6061553955,74.1401519775,72.0973510742
2049,70.8576507568,76.3956451416,,74.2234802246,71.4868392944,74.2897796631,73.2025756836
2050,71.4002075195,76.1647644043,,74.0532989502,71.5083770752,73.3111724854,73.7928695679
2051,72.1020202637,76.9166717529,,75.6446685791,73.0977630615,74.3387298584,73.9570617676
2052,71.4288330078,77.1714401245,,75.1016159058,73.7187652588,74.2209014893,72.7724609375
2053,71.9789733887,76.695022583,,74.6316223145,73.1292419434,73.7961654663,74.4117889404
2054,71.8278045654,76.5537338257,,75.2588806152,73.6434555054,73.8091278076,73.209274292
2055,71.8367538452,75.7412948608,,73.4537811279,73.0818328857,74.8486557007,74.2355651855
2056,71.4905700684,76.0897216797,,73.8220367432,73.7586975098,75.2826156616,73.642791748
2057,71.3843383789,77.0282287598,,77.0282287598,73.7402954102,75.1065063477,73.8999862671
2058,71.8349456787,76.5691680908,,75.0813446045,74.6782073975,76.3989868164,72.8088226318
2059,71.6568527222,76.3622970581,,76.0830841064,74.2028198242,75.7103729248,72.6562805176
2060,71.9529342651,76.7229232788,,76.2440795898,74.6555709839,75.3380966187,72.0912017822
2061,71.963760376,76.8443222046,,75.830947876,73.3480377197,75.3074493408,74.6060180664
2062,71.5296325684,76.560874939,,73.9385528564,75.1123275757,76.560874939,76.3441696167
2063,72.4668197632,76.8339385986,,73.8497238159,74.7774658203,74.8461837769,74.0550079346
2064,71.5313873291,76.698425293,,75.2126922607,74.8032836914,75.8964767456,73.5078887939
2065,72.0529098511,76.9337005615,,74.4676513672,75.030090332,75.2436676025,72.0529098511
2066,72.2285308838,77.0113143921,,75.6740036011,75.5633163452,76.8872833252,72.349105835
2067,72.1504669189,77.5256347656,,77.0701446533,74.9303894043,76.8058166504,73.6937179565
2068,71.1843261719,76.99609375,,74.402885437,75.246307373,76.99609375,74.4313964844
2069,71.8513641357,78.6172943115,,75.6357116699,74.5331878662,76.1106567383,75.7331085205
2070,72.1232223511,78.7461090088,,75.6591720581,73.5754547119,76.1301574707,74.6443634033
2071,73.0011444092,78.8401031494,,75.294921875,76.6013641357,75.240814209,74.468963623
2072,72.2805480957,79.1784820557,,75.1226501465,74.4798431396,76.9817047119,75.1583557129
2073,71.904045105,77.4455490112,,76.6126708984,73.8227539062,77.0091705322,74.7931747437
2074,72.5347747803,77.8623199463,,73.9114685059,75.6514816284,75.3400726318,75.4238433838
2075,72.4877471924,78.7629699707,,75.4797058105,75.0117492676,76.0388031006,75.9731063843
2076,72.8468933105,79.3840332031,,77.7926635742,77.6375350952,76.4221191406,73.9298095703
2077,72.0601654053,78.1621856689,,78.114730835,75.8951034546,76.3147277832,74.686882019
2078,72.9821929932,79.9584503174,,79.0252685547,74.5464782715,75.3547363281,76.4968795776
2079,72.8089904785,77.956413269,,76.859375,75.1760482788,77.1080474854,75.8949890137
2080,73.0603027344,80.1206054688,,76.1630096436,75.013999939,76.8533859253,73.5244140625
2081,71.5590209961,79.7231750488,,77.6876831055,75.6599960327,76.1420211792,75.942565918
2082,73.5908355713,79.3572235107,,77.4527435303,74.0598373413,76.1463623047,74.974609375
2083,73.2740936279,78.5656585693,,77.399520874,75.7532653809,77.3646850586,76.0180969238
2084,73.1241912842,79.4307785034,,76.1288909912,75.1936798096,79.4307785034,76.692276001
2085,73.3972473145,78.9638595581,,76.0712738037,76.42162323,78.5607147217,75.2465209961
2086,73.1936798096,79.0323638916,,77.7431640625,75.6373138428,77.5758514404,75.6913604736
2087,74.0540161133,83.5250549316,,78.0909957886,76.1792602539,78.0400695801,76.2572631836
2088,73.1948852539,80.4972229004,,78.1844940186,75.5749664307,77.7423400879,76.0991744995
2089,74.2014007568,81.2074890137,,77.1430969238,74.8370666504,77.1633605957,76.8887023926
2090,73.5502929688,80.3573608398,,77.6228179932,75.4699859619,77.92137146,74.6305236816
2091,72.9384078979,79.1202545166,,76.2423248291,76.7323760986,76.7078170776,74.4731445312
2092,74.2499542236,80.3075408936,,77.2982177734,76.0085372925,77.0615768433,75.0293273926
2093,73.9119567871,79.2587890625,,79.2587890625,75.125289917,78.5056762695,76.8788146973
2094,73.5289764404,81.1818389893,,79.3431091309,76.7364959717,78.6811218262,76.6325073242
2095,73.7148132324,81.9407653809,,79.2285766602,75.6203918457,78.5290756226,75.6683502197
2096,73.9563446045,81.2041320801,,79.9822387695,77.3750152588,77.7283325195,76.6565704346
2097,73.5713806152,80.4236679077,,78.0461730957,76.9046325684,78.012008667,75.4928894043
2098,74.6217346191,82.6516952515,,80.2195968628,77.8701705933,78.7479782104,76.0165023804
2099,73.7144775391,81.1130599976,,79.6430892944,76.2926940918,77.8854980469,78.4256896973
2100,74.2053527832,82.3827514648,,81.7840499878,77.0624008179,,